,Entity,Code,Year,Solar Capacity
179,Australia,AUS,1.398203141998094,0.011547400760923579
180,Australia,AUS,1.5317986619298365,0.09153831967175363
181,Australia,AUS,1.6653941818615787,0.12320558174113831
182,Austria,AUT,-1.6744938164319783,-0.2255054588858388
183,Austria,AUT,-1.540898296500236,-0.2254963170665347
184,Austria,AUT,-1.4073027765684938,-0.22548351851950896
185,Austria,AUT,-1.2737072566367516,-0.2254688916086224
186,Austria,AUT,-1.140111736705009,-0.22544512287843177
187,Austria,AUT,-1.0065162167732669,-0.2254085556012154
188,Austria,AUT,-0.8729206968415246,-0.22537198832399902
189,Austria,AUT,-0.7393251769097824,-0.22511601738348436
190,Austria,AUT,-0.60572965697804,-0.2250428828290516
191,Austria,AUT,-0.4721341370462978,-0.2251522555552058
192,Austria,AUT,-0.3385386171145555,-0.22512722525395118
193,Austria,AUT,-0.20494309718281326,-0.22509338223888742
194,Austria,AUT,-0.07134757725107096,-0.22498583787659404
195,Austria,AUT,0.06224794268067132,-0.22464219688895315
196,Austria,AUT,0.1958434626124136,-0.22391271627576356
197,Austria,AUT,0.3294389825441559,-0.22235390809894512
198,Austria,AUT,0.46303450247589817,-0.21936612386306503
199,Austria,AUT,0.5966300224076404,-0.21409145867734977
200,Austria,AUT,0.7302255423393827,-0.21117938698894614
201,Austria,AUT,0.863821062271125,-0.20840297989901532
202,Austria,AUT,0.9974165822028672,-0.20549738061867903
203,Austria,AUT,1.1310121021346096,-0.20233513390319957
204,Austria,AUT,1.2646076220663518,-0.19893143345626035
205,Austria,AUT,1.398203141998094,-0.19441608778194325
206,Austria,AUT,1.5317986619298365,-0.18818427411508926
207,Austria,AUT,1.6653941818615787,-0.1763181926583741
208,Belgium,BEL,-1.6744938164319783,-0.22553654107147272
209,Belgium,BEL,-1.540898296500236,-0.22553654107147272
210,Belgium,BEL,-1.4073027765684938,-0.22553654107147272
211,Belgium,BEL,-1.2737072566367516,-0.22553654107147272
212,Belgium,BEL,-1.140111736705009,-0.22553654107147272
213,Belgium,BEL,-1.0065162167732669,-0.22553654107147272
214,Belgium,BEL,-0.8729206968415246,-0.22551825743286455
215,Belgium,BEL,-0.7393251769097824,-0.22551825743286455
216,Belgium,BEL,-0.60572965697804,-0.22551825743286455
217,Belgium,BEL,-0.4721341370462978,-0.22549997379425635
218,Belgium,BEL,-0.3385386171145555,-0.22549997379425635
219,Belgium,BEL,-0.20494309718281326,-0.22517086829930893
220,Belgium,BEL,-0.07134757725107096,-0.22440295547776498
221,Belgium,BEL,0.06224794268067132,-0.2184790565687115
222,Belgium,BEL,0.1958434626124136,-0.20713223044846893
223,Belgium,BEL,0.3294389825441559,-0.1893605337213085
224,Belgium,BEL,0.46303450247589817,-0.17714706313103779
225,Belgium,BEL,0.5966300224076404,-0.17248473528594938
226,Belgium,BEL,0.7302255423393827,-0.17041137066778067
227,Belgium,BEL,0.863821062271125,-0.16827949840606574
228,Belgium,BEL,0.9974165822028672,-0.16467396487253072
229,Belgium,BEL,1.1310121021346096,-0.159338799126661
230,Belgium,BEL,1.2646076220663518,-0.1524019866387138
231,Belgium,BEL,1.398203141998094,-0.1407626223007402
232,Belgium,BEL,1.5317986619298365,-0.12360891255853658
233,Belgium,BEL,1.6653941818615787,-0.10514609429198658
234,Brazil,BRA,-1.6744938164319783,-0.22553654107147272
235,Brazil,BRA,-1.540898296500236,-0.22553654107147272
236,Brazil,BRA,-1.4073027765684938,-0.22553654107147272
237,Brazil,BRA,-1.2737072566367516,-0.22553654107147272
238,Brazil,BRA,-1.140111736705009,-0.22553654107147272
239,Brazil,BRA,-1.0065162167732669,-0.22553588286048284
240,Brazil,BRA,-0.8729206968415246,-0.22553588286048284
241,Brazil,BRA,-0.7393251769097824,-0.22552344998622925
242,Brazil,BRA,-0.60572965697804,-0.22552341341895202
243,Brazil,BRA,-0.4721341370462978,-0.22552341341895202
244,Brazil,BRA,-0.3385386171145555,-0.22552341341895202
245,Brazil,BRA,-0.20494309718281326,-0.22552341341895202
246,Brazil,BRA,-0.07134757725107096,-0.22552257237157605
247,Brazil,BRA,0.06224794268067132,-0.22552165818964565
248,Brazil,BRA,0.1958434626124136,-0.22552092684410133
249,Brazil,BRA,0.3294389825441559,-0.2254250657268786
