,Date-Hour(NMT),WindSpeed,Sunshine,AirPressure,Radiation,AirTemperature,RelativeAirHumidity,SystemProduction
4020,17.06.2017-12:00,1.0193508478080942,2.306061453900183,0.3781855663596012,3.907632416059939,1.8834066651080135,-1.4897583931010674,3.558241308162712
4021,17.06.2017-13:00,0.5281497846657127,2.306061453900183,0.362552311542502,3.8050686628215824,2.041221836089437,-1.9566143355456307,4.357975194137796
4022,17.06.2017-14:00,0.34394938598731983,2.306061453900183,0.3391024293168621,3.2478238858688004,2.001768043344081,-1.85286857055795,2.7524565394634686
4023,17.06.2017-15:00,0.4053495188801173,2.306061453900183,0.3234691744997629,2.173372588575,2.146431950077053,-2.1641058655209924,4.238861034045512
4024,17.06.2017-16:00,0.5895499175585105,1.1251498902381531,0.3312858019083125,1.5733472086671811,1.9886167790956293,-1.4897583931010674,3.7035762514017194
4025,17.06.2017-17:00,0.9579507149152967,-0.2447075236098017,0.3469190567254028,0.7533856520289829,1.72559149412659,-1.1785210981380252,2.0105428419657763
4026,17.06.2017-18:00,0.9579507149152967,-0.5281262988886889,0.3391024293168621,0.06450825059916533,1.6729864371327818,-0.9710295681626637,1.3907687123060573
4027,17.06.2017-19:00,0.6509500504513083,-0.5281262988886889,0.3078359196826637,-0.03311927922130243,1.5809275873936182,-0.867283803174983,0.02078879779321493
4028,17.06.2017-20:00,0.036948721523331375,-0.5281262988886889,0.3312858019083125,-0.11264732317617786,1.4888687376544545,-0.867283803174983,-0.10773795112096891
4029,17.06.2017-21:00,-0.3314520758334548,-0.5281262988886889,0.3234691744997629,-0.3583615555333102,1.3836586236668387,-0.8154109206811426,-0.23379940855714232
4030,17.06.2017-22:00,-0.7612530060830387,-0.5281262988886889,0.3312858019083125,-0.5322263136967276,1.252145981182319,-0.5560465082119407,-0.39269278259743384
4031,17.06.2017-23:00,-1.1296538034398247,-0.5281262988886889,0.3391024293168621,-0.5728130395771468,1.1600871314431553,-0.19293633075505812,-0.46037380082298074
4032,18.06.2017-00:00,-1.1296538034398247,-0.5281262988886889,0.362552311542502,-0.5788462015323442,1.0417257532070876,0.27391961168950524,-0.46037380082298074
4033,18.06.2017-01:00,-0.2086518100478596,-0.5281262988886889,0.3547356841339524,-0.5744584473831097,0.9628181677163759,0.42953825917102634,-0.46037380082298074
4034,18.06.2017-02:00,-1.25245406922542,-0.5281262988886889,0.3469190567254028,-0.5761038551890726,0.9365156392194718,0.792648436627909,-0.46037380082298074
